doc_id,news_title,actual,predicted,probability,prediction_time
1,"Fiskars has a strong portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster .",1,1,0.7686,0.01345205307006836
2,"METALS-Zinc surges 12 pct after Glencore cuts output, fuelling metals rally",1,-1,0.5524,0.00191497802734375
3,"According to Scanfil , demand for telecommunications network products has fluctuated significantly in the third quarter of 2006 , and the situation is expected to remain unstable for the rest of the year .",-1,-1,0.5451,0.0011277198791503906
4,dbs launches new banking api developer platform; india holds greatest promise for fintech partnerships,1,1,0.8133,0.0010690689086914062
5,"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .",1,1,0.8139,0.0013000965118408203
6,1 November 2010 - Finnish textile and clothing company Marimekko Oyj ( HEL : MMO1V ) announced on Friday the opening of its first concept store in Seoul in cooperation with Japanese sector player Look Inc ( TYO : 8029 ) .,1,1,0.7259,0.0010139942169189453
7,"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .",-1,-1,0.7863,0.0012919902801513672
8,tenaga 's 3q net profit soars 192% on lower icpt costs,1,1,0.5864,0.000997781753540039
9,toyota seeking to halve japan car models as domestic market shrinks,-1,-1,0.6358,0.0008709430694580078
10,"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .",-1,-1,0.5226,0.0011138916015625
11,"According to A-Rehu 's Managing Director , Jouko Lahtinen , the project will stabilise costs and improve supply security .",1,1,0.6685,0.000885009765625
12,"tabung haji denies deficit claim, says able to return all deposits",1,1,0.5348,0.0009329319000244141
13,UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,-1,-1,0.7217,0.001153707504272461
14,"Under a memorandum of understanding MoU the parties will collaborate in preparing and implementing joint projects in the fields of combined power and heat generation , environmental protection and energy efficient technologies .",1,1,0.704,0.0017168521881103516
15,higher sales sees concrete engineering products posting rm7.92m profit in 1q,1,1,0.8437,0.0010502338409423828
16,The repurchases shall decrease the distributable capital and reserves .,-1,-1,0.6384,0.0014028549194335938
17,"Glaston , headquartered in Tampere , Finland , is a growing , international glass technology company .",1,1,0.6801,0.0012111663818359375
18,mrcb disposes of 40% interest in jvs to ekovest for rm8.5m,1,1,0.7169,0.0011789798736572266
19,customs cancel plan to extend gst to over 60 food items,1,-1,0.6855,0.0010859966278076172
20,three-a resources' shares rise 6.6% following surge in 1q net profit,1,1,0.8647,0.0010211467742919922
21,"Finnair 's Tallinn-based subsidiary , Aero AS , carried 23,335 passengers , a decline of 60.8 % , on routes between Helsinki and the Baltic capitals and within Southern Finland .",-1,-1,0.6441,0.0009260177612304688
22,"Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier .",-1,-1,0.7721,0.0011811256408691406
23,united engineers ' fy17 earnings fall 36% to s$89.6 mil on discontinued operations,-1,-1,0.6713,0.0009312629699707031
24,fitch revises malaysian banks' outlook in 2016 to negative amid challenges,-1,-1,0.752,0.0009138584136962891
25,Kone said in court papers that the union action delayed repairs to elevators at the federal courthouse on Jan. 21 and the Saltonstall state office building on Jan. 23 .,-1,-1,0.713,0.001129150390625
26,"edra 's sale to foreign firms can lead to higher electricity tariff, says pkr",1,1,0.5337,0.0013189315795898438
27,plaza premium lounge named world 's best independent airport lounge for 2017,1,1,0.7412,0.0012431144714355469
28,"bimb 's 4q net profit climbs 5.17% y-o-y, revenue up 16.12%",1,1,0.91,0.0011858940124511719
29,"these 5 s ' pore-listed stocks could benefit from surprise delay in gst hike, says credit suisse",1,1,0.5804,0.0010311603546142578
30,"Jobs will not be transferred from Finland , however .",1,-1,0.8388,0.0010366439819335938
31,"tech stocks touch record highs, dollar steadies as trade fears ebb",-1,-1,0.6739,0.0016093254089355469
32,lower liability cost could improve singapore banks ' net interest margins,1,1,0.6537,0.0013179779052734375
33,The social plan negotiations were part of the three year turn-around program which is expected to ensure Salomon 's future competitiveness .,1,1,0.6317,0.0012087821960449219
34,Shire in talks with Baxalta shareholders,1,1,0.718,0.0011341571807861328
35,unusual says mulling ' corporate exercise ' in response to sgx query,1,1,0.6655,0.0010302066802978516
36,"pentamaster 's 2q net profit doubles on higher revenue, better product mix",1,1,0.8704,0.0010402202606201172
37,capitaland mall trust kept at ' buy ' in the face of new retail supply,1,1,0.7984,0.0009679794311523438
38,zecon to raise about rm6.5 mil from private placement for working capital,1,1,0.8305,0.0009250640869140625
